,cell,cell periphery,cellular_component,cytoplasm,membrane,organelle,unknown
BS sonic 1,3388.6664668664694,856.8949689199694,706.3536963036963,12563.21237096235,1632.7608308358288,496.1116661116661,10844.0
BS sonic 2,3623.425566100566,751.6576506826503,576.0922799422804,10831.493326118296,1423.3226273726234,450.0085497835497,10101.0
BS sonic 3,3124.93378288378,772.9126900876919,733.0153735153737,11830.54517704518,1506.0454129204104,442.54756354756347,10572.0
BS triflic 1,2282.739019314023,739.3107059607063,452.237185037185,11076.486888111882,1223.1065295815285,769.1196719946718,7791.0
BS triflic 2,3569.8102813852797,1018.3038766788778,774.757986457987,17707.632783882807,1770.3084859584774,812.1865856365855,10025.0
BS triflic 3,5106.88409090909,1378.7540237540213,1025.8344710844713,22310.018004218044,2195.0823315573293,1524.4270784770795,13478.0
Jurkat sonic 1,5517.775782093927,1189.4716519972055,1267.6147380516054,5974.558873821577,1866.744554711019,7937.1236850392515,22995.710714285797
Jurkat sonic 2,4578.56804610542,1393.8640493805033,3032.588304743299,7282.067021611014,2054.813271192028,7710.813484456691,21265.285822510872
Jurkat sonic 3,6517.898088513583,1066.588226057197,1543.7346091396444,5903.0332327429305,1656.9799112487528,9504.487307164312,21198.27862513321
Jurkat triflic 1,2004.0072360380434,308.8040867991717,327.4128693177562,2145.533270715393,502.26899978821416,2777.597905520744,6859.375631820608
Jurkat triflic 2,2259.4382857643714,302.3841730532577,420.25671456473793,2029.1874593292785,504.03391929307406,3086.5812740195406,7471.118173975784
Jurkat triflic 3,3090.8966649732297,490.39956259456983,839.7031043089504,3225.8852695560986,796.1671546565988,4446.99158063907,10534.956663271363
PA pellet 1,2874.6802072927085,3388.327737540239,381.9777777777777,9125.03278388277,10249.994191919166,1026.9873015873015,8178.0
PA pellet 2,2470.280762293258,2732.099870962371,290.4055555555556,7047.845177045182,8375.04760239761,759.3210317460317,6089.0
PA pellet 3,2399.1688103563106,2657.855036630035,367.6846153846154,7336.720268620266,7862.068582806083,653.5026862026868,7013.0
PA sonic 1,6849.527711177714,690.9571456321444,903.8333333333326,16747.980219780264,1474.1543983794002,1828.5471916971912,14719.0
PA sonic 2,5544.6983960483985,504.635506160506,610.4499999999997,12974.27585470084,1073.5885642135647,1439.351678876678,12435.0
PA sonic 3,3055.392443667441,348.7712537462539,623.791452991454,9318.080647130626,674.2405150405154,1053.7236874236876,7099.0
PA triflic 1,2935.9062590187586,1345.328454878454,415.28333333333353,11086.44734432234,3781.2560370185297,1219.7785714285703,8530.0
PA triflic 2,3235.238374125871,1262.9508449883458,606.5756410256402,11334.123015873025,3521.285139860136,1244.8269841269835,11709.0
PA triflic 3,3044.6415584415577,1296.6719128094137,554.7311965811963,11884.440689865683,3780.125906038406,1308.3887362637365,9436.0
